Metric,betas_nonzero6_cand0,betas_nonzero8_cand0,betas_nonzero10_cand0
mean relative error,0.1504519429226232,0.09250163206934665,0.044105745109846
median relative error,0.1504519429226232,0.09250163206934665,0.044105745109846
Thermochemistry mean relative error,0.1504519429226232,0.09250163206934665,0.044105745109846
99590 max diff,5.227819793179116e-06,0.0003985156926998475,0.0001628636510035572
99590 Percentage diff > 0.015 kcal/mol,0.00%,0.00%,0.00%
99590 count diff > 0.015 kcal/mol,0,0,0
99590 count diff > 0.1 kcal/mol,0,0,0
99590 count diff > 0.5 kcal/mol,0,0,0
75302 max diff,0.0008142474439107367,0.04053620438578919,0.0367766206162419
75302 median diff,0.00028257057465844355,0.0022478652903021525,0.007115160044371422
75302 Percentage diff > 0.015 kcal/mol,0.00%,38.89%,5.56%
75302 count diff > 0.015 kcal/mol,0,7,1
75302 count diff > 0.1 kcal/mol,0,0,0
75302 count diff > 0.5 kcal/mol,0,0,0
AE18,0.1504519429226232,0.09250163206934665,0.044105745109846
